,gen_summaries,rouge_scores
305,"Carlos Munita of the Chilean navy said they received a distress call from the Explorer, saying the vessel had hit an iceberg around 10 p.m. ""The great majority of people, including all the passengers, have been safely taken off the Explorer and are now being recovered by the first of the vessels to arrive on scene in response to the distress call,"" Dave Jardine-Smith, head of the Maritime and Coastguard Agency's (MCA) search and rescue team in England said.","{'rouge1': Score(precision=0.36363636363636365, recall=0.14634146341463414, fmeasure=0.20869565217391303), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.18181818181818182, recall=0.07317073170731707, fmeasure=0.10434782608695652), 'rougeLsum': Score(precision=0.30303030303030304, recall=0.12195121951219512, fmeasure=0.17391304347826086)}"
306,"To manufacture and place Reef Balls in marine habitats around the world, Barber established The Reef Ball Foundation in 1993.","{'rouge1': Score(precision=0.1702127659574468, recall=0.4, fmeasure=0.23880597014925373), 'rouge2': Score(precision=0.021739130434782608, recall=0.05263157894736842, fmeasure=0.03076923076923077), 'rougeL': Score(precision=0.1276595744680851, recall=0.3, fmeasure=0.17910447761194026), 'rougeLsum': Score(precision=0.1276595744680851, recall=0.3, fmeasure=0.17910447761194026)}"
307,"But I think another piece of advice I would give to women is not to be afraid to put themselves forward and say what it is they want, because I think one thing that happens with women, which perhaps is a gender difference, is that women often hang back and think ""I will be noticed for my results, everybody will see how great I am because I've delivered these exceptional outcomes"".","{'rouge1': Score(precision=0.12121212121212122, recall=0.05555555555555555, fmeasure=0.07619047619047618), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.12121212121212122, recall=0.05555555555555555, fmeasure=0.07619047619047618), 'rougeLsum': Score(precision=0.12121212121212122, recall=0.05555555555555555, fmeasure=0.07619047619047618)}"
308,"summarize: LAS VEGAS, Nevada (CNN) -- A fire charred the top of two of three wings of the Monte Carlo Resort and Casino on Friday, causing no major injuries but forcing visitors and employees to evacuate, authorities said. Fire","{'rouge1': Score(precision=0.3695652173913043, recall=0.4473684210526316, fmeasure=0.40476190476190477), 'rouge2': Score(precision=0.1111111111111111, recall=0.13513513513513514, fmeasure=0.12195121951219512), 'rougeL': Score(precision=0.2391304347826087, recall=0.2894736842105263, fmeasure=0.2619047619047619), 'rougeLsum': Score(precision=0.30434782608695654, recall=0.3684210526315789, fmeasure=0.3333333333333333)}"
309,"summarize: PELLA, Iowa (CNN) -- A senior aide to Republican presidential candidate Mike Huckabee admitted Friday that the former Arkansas governor had ""no foreign policy credentials"" after his comments reacting to the assassination of former Pakistani Prime Minister Benazir Bhutto raised questions. ""But","{'rouge1': Score(precision=0.26666666666666666, recall=0.2857142857142857, fmeasure=0.2758620689655172), 'rouge2': Score(precision=0.06818181818181818, recall=0.07317073170731707, fmeasure=0.07058823529411763), 'rougeL': Score(precision=0.17777777777777778, recall=0.19047619047619047, fmeasure=0.1839080459770115), 'rougeLsum': Score(precision=0.2222222222222222, recall=0.23809523809523808, fmeasure=0.22988505747126436)}"
310,"""Three decades later, there is a legitimate debate about how we got into the Vietnam War and how we left,"" Bush told members of the Veterans of Foreign Wars, at their convention in Kansas City, Missouri. ""America lost the war in Vietnam because our troops were trapped in a distant country we did not understand supporting a government that lacked sufficient legitimacy with its people,"" Kennedy said in a statement. Carl","{'rouge1': Score(precision=0.16666666666666666, recall=0.07042253521126761, fmeasure=0.09900990099009901), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06666666666666667, recall=0.028169014084507043, fmeasure=0.039603960396039604), 'rougeLsum': Score(precision=0.1, recall=0.04225352112676056, fmeasure=0.05940594059405941)}"
311,"""When they wake up to a submachine gun and flashlight in their face, they tend not to fight,"" says James Ergas, the supervisory inspector for the U.S. O'Donnell says it takes highly trained, high energy, ""really special people"" to do such work day in and day out, especially when they're up against ""some of the most dangerous individuals in the country."" ""It's not an exaggeration to say they're the front of the front line,"" O'Donnell says. To","{'rouge1': Score(precision=0.17647058823529413, recall=0.10843373493975904, fmeasure=0.13432835820895525), 'rouge2': Score(precision=0.02, recall=0.012195121951219513, fmeasure=0.015151515151515152), 'rougeL': Score(precision=0.13725490196078433, recall=0.08433734939759036, fmeasure=0.1044776119402985), 'rougeLsum': Score(precision=0.13725490196078433, recall=0.08433734939759036, fmeasure=0.1044776119402985)}"
312,"Bring it back: In Florence, find hand-finished leather gloves from the family-run Madova shop; soaps from the historic Santa Maria Novella pharmacy; a bottle of Mangiacane wine (the property produces Merlot and Chianti). Bring it back: A string hammock from Tulum for lounging; beauty products, like scented candles and linen spray, made with local ingredients, such as tropical wood and coconut, from chic eco-retreat (Coqui Coqui). The","{'rouge1': Score(precision=0.17073170731707318, recall=0.1, fmeasure=0.12612612612612611), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07317073170731707, recall=0.04285714285714286, fmeasure=0.05405405405405406), 'rougeLsum': Score(precision=0.14634146341463414, recall=0.08571428571428572, fmeasure=0.10810810810810811)}"
313,"Last year, the Vietnamese government unearthed 38 cases of illegal trafficking that involved 503 endangered animals, local media said at the time.","{'rouge1': Score(precision=0.075, recall=0.13636363636363635, fmeasure=0.09677419354838708), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05, recall=0.09090909090909091, fmeasure=0.06451612903225806), 'rougeLsum': Score(precision=0.05, recall=0.09090909090909091, fmeasure=0.06451612903225806)}"
314,"summarize: (CNN) -- CNN.com reader Kristy O'Connor took a prenatal yoga class with Heath Ledger and Michelle Williams and says she was ""in awe of his devotion and attention to Michelle."" Reader Dena Michnowih says she came across Ledger in Brooklyn, New York, teaching his young daughter Matilda her right from her left, and was enchanted. Don","{'rouge1': Score(precision=0.2857142857142857, recall=0.1724137931034483, fmeasure=0.21505376344086022), 'rouge2': Score(precision=0.058823529411764705, recall=0.03508771929824561, fmeasure=0.04395604395604395), 'rougeL': Score(precision=0.14285714285714285, recall=0.08620689655172414, fmeasure=0.10752688172043011), 'rougeLsum': Score(precision=0.17142857142857143, recall=0.10344827586206896, fmeasure=0.12903225806451615)}"
315,"""There was definitely incoming small arms fire from insurgents"" in the September 16 incident in Baghdad, founder and CEO Erik Prince told CNN's Wolf Blitzer on ""Late Edition."" There was no ""deliberate violence,"" committed by Blackwater employees, he added.","{'rouge1': Score(precision=0.47619047619047616, recall=0.5, fmeasure=0.4878048780487805), 'rouge2': Score(precision=0.34146341463414637, recall=0.358974358974359, fmeasure=0.35000000000000003), 'rougeL': Score(precision=0.35714285714285715, recall=0.375, fmeasure=0.3658536585365853), 'rougeLsum': Score(precision=0.35714285714285715, recall=0.375, fmeasure=0.3658536585365853)}"
316,"summarize: (CNN) -- A mine exploded Monday on a road in southern Somalia, killing four people -- three members of the medical humanitarian group Medecins Sans Frontieres and a journalist.","{'rouge1': Score(precision=0.23529411764705882, recall=0.2857142857142857, fmeasure=0.2580645161290323), 'rouge2': Score(precision=0.06060606060606061, recall=0.07407407407407407, fmeasure=0.06666666666666667), 'rougeL': Score(precision=0.17647058823529413, recall=0.21428571428571427, fmeasure=0.1935483870967742), 'rougeLsum': Score(precision=0.17647058823529413, recall=0.21428571428571427, fmeasure=0.1935483870967742)}"
317,Model Kate Moss faced allegations of cocaine use in 2005 but was never charged for over the claims.,"{'rouge1': Score(precision=0.0967741935483871, recall=0.16666666666666666, fmeasure=0.12244897959183673), 'rouge2': Score(precision=0.06666666666666667, recall=0.11764705882352941, fmeasure=0.0851063829787234), 'rougeL': Score(precision=0.0967741935483871, recall=0.16666666666666666, fmeasure=0.12244897959183673), 'rougeLsum': Score(precision=0.0967741935483871, recall=0.16666666666666666, fmeasure=0.12244897959183673)}"
318,"""While the newly discovered DNA evidence does not exonerate Timothy Masters, it clearly warrants a complete re-examination of all the evidence related to the murder of Peggy Hettrick,"" the court papers state.","{'rouge1': Score(precision=0.13513513513513514, recall=0.15151515151515152, fmeasure=0.14285714285714285), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10810810810810811, recall=0.12121212121212122, fmeasure=0.11428571428571428), 'rougeLsum': Score(precision=0.13513513513513514, recall=0.15151515151515152, fmeasure=0.14285714285714285)}"
319,summarize: (CNN) -- The announced pregnancy of Jamie Lynn Spears -- the 16-year-old children's television star and younger sister of beleaguered pop star Britney Spears -- is casting new light on how states deal with the thorny issue of consensual sex among teens. In,"{'rouge1': Score(precision=0.25, recall=0.2727272727272727, fmeasure=0.2608695652173913), 'rouge2': Score(precision=0.06382978723404255, recall=0.06976744186046512, fmeasure=0.06666666666666667), 'rougeL': Score(precision=0.16666666666666666, recall=0.18181818181818182, fmeasure=0.17391304347826086), 'rougeLsum': Score(precision=0.20833333333333334, recall=0.22727272727272727, fmeasure=0.21739130434782608)}"
320,"summarize: NEW DELHI, India -- Police covered up the murder of a British teenage girl in Goa last month to protect the tourist industry, a state minister and local media said Monday.","{'rouge1': Score(precision=0.3333333333333333, recall=0.41935483870967744, fmeasure=0.3714285714285714), 'rouge2': Score(precision=0.13157894736842105, recall=0.16666666666666666, fmeasure=0.14705882352941177), 'rougeL': Score(precision=0.28205128205128205, recall=0.3548387096774194, fmeasure=0.3142857142857143), 'rougeLsum': Score(precision=0.3333333333333333, recall=0.41935483870967744, fmeasure=0.3714285714285714)}"
321,"summarize: (CNN) -- A mine exploded Monday on a road in southern Somalia, killing four people -- three members of the medical humanitarian group Medecins Sans Frontieres and a journalist.","{'rouge1': Score(precision=0.23529411764705882, recall=0.2857142857142857, fmeasure=0.2580645161290323), 'rouge2': Score(precision=0.06060606060606061, recall=0.07407407407407407, fmeasure=0.06666666666666667), 'rougeL': Score(precision=0.17647058823529413, recall=0.21428571428571427, fmeasure=0.1935483870967742), 'rougeLsum': Score(precision=0.17647058823529413, recall=0.21428571428571427, fmeasure=0.1935483870967742)}"
322,"summarize: (CNN) -- A bus carrying members of a Marine Corps Reserve unit overturned at an Alabama military base Sunday, leaving 23 Marines injured, four of them critically, the military said in a news release.","{'rouge1': Score(precision=0.5263157894736842, recall=0.5882352941176471, fmeasure=0.5555555555555555), 'rouge2': Score(precision=0.32432432432432434, recall=0.36363636363636365, fmeasure=0.34285714285714286), 'rougeL': Score(precision=0.5, recall=0.5588235294117647, fmeasure=0.5277777777777778), 'rougeLsum': Score(precision=0.5263157894736842, recall=0.5882352941176471, fmeasure=0.5555555555555555)}"
323,"When AC Milan defeated Liverpool in the Champions League final in Athens, avenging their heartbreaking loss to the same team in Istanbul two years previously, it enabled Kaka to fulfill his dream of holding aloft Europe's premier trophy -- a winner's medal he fully deserved after a sublime 90-minute performance.","{'rouge1': Score(precision=0.2558139534883721, recall=0.21153846153846154, fmeasure=0.23157894736842105), 'rouge2': Score(precision=0.047619047619047616, recall=0.0392156862745098, fmeasure=0.04301075268817204), 'rougeL': Score(precision=0.11627906976744186, recall=0.09615384615384616, fmeasure=0.10526315789473685), 'rougeLsum': Score(precision=0.16279069767441862, recall=0.1346153846153846, fmeasure=0.14736842105263157)}"
324,"summarize: JACKSONVILLE, North Carolina (CNN) -- Christina Laurean has told authorities she was attending a Christmas party on the night her husband allegedly killed pregnant Marine Lance Cpl. Christina","{'rouge1': Score(precision=0.16071428571428573, recall=0.32142857142857145, fmeasure=0.2142857142857143), 'rouge2': Score(precision=0.03636363636363636, recall=0.07407407407407407, fmeasure=0.048780487804878044), 'rougeL': Score(precision=0.10714285714285714, recall=0.21428571428571427, fmeasure=0.14285714285714285), 'rougeLsum': Score(precision=0.14285714285714285, recall=0.2857142857142857, fmeasure=0.19047619047619047)}"
325,"The Clinton campaign accused Obama of borrowing from a close supporter, and the Illinois senator responded by saying his own words have been used by Clinton. A central passage in a speech Obama gave Saturday -- aimed at convincing voters that his campaign is not just about lofty rhetoric -- is adapted from one that Patrick used in his 2006 campaign, the Obama campaign said when asked about it. The","{'rouge1': Score(precision=0.39473684210526316, recall=0.22058823529411764, fmeasure=0.2830188679245283), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15789473684210525, recall=0.08823529411764706, fmeasure=0.11320754716981131), 'rougeLsum': Score(precision=0.2631578947368421, recall=0.14705882352941177, fmeasure=0.18867924528301885)}"
326,"Police found six people -- two men, two women and two boys -- dead in a home in a north Memphis neighborhood Monday, said Memphis police Lt. The four dead adults were shot and the two dead children were stabbed, sources told CNN affiliate WMC-TV. The","{'rouge1': Score(precision=0.2391304347826087, recall=0.24444444444444444, fmeasure=0.24175824175824176), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15217391304347827, recall=0.15555555555555556, fmeasure=0.15384615384615385), 'rougeLsum': Score(precision=0.17391304347826086, recall=0.17777777777777778, fmeasure=0.1758241758241758)}"
327,"Police have more than one confession in the case and the individuals will be charged with murder, said Robert Parker, director of the Miami-Dade Police Department. Police said Garcia and Taylor were awakened by noise in the living room, and that Taylor got up and locked the bedroom door, but the","{'rouge1': Score(precision=0.36585365853658536, recall=0.28846153846153844, fmeasure=0.3225806451612903), 'rouge2': Score(precision=0.175, recall=0.13725490196078433, fmeasure=0.15384615384615385), 'rougeL': Score(precision=0.34146341463414637, recall=0.2692307692307692, fmeasure=0.3010752688172043), 'rougeLsum': Score(precision=0.3170731707317073, recall=0.25, fmeasure=0.27956989247311825)}"
328,"His daughter was sentenced to beheading in a case rights groups say underlines the vulnerability of many of the 1.5 million Sri Lankans who work abroad -- nearly 400,000 of them in Saudi Arabia alone.","{'rouge1': Score(precision=0.23684210526315788, recall=0.25, fmeasure=0.24324324324324326), 'rouge2': Score(precision=0.05405405405405406, recall=0.05714285714285714, fmeasure=0.05555555555555556), 'rougeL': Score(precision=0.10526315789473684, recall=0.1111111111111111, fmeasure=0.10810810810810811), 'rougeLsum': Score(precision=0.18421052631578946, recall=0.19444444444444445, fmeasure=0.18918918918918917)}"
329,"However, as part of his restitution to society, I believe he should contribute at least 40% of his salary for what could have potentially been his maximum jail sentence to the Humane Society to help abused and abandoned animals. Josh He","{'rouge1': Score(precision=0.14705882352941177, recall=0.12195121951219512, fmeasure=0.1333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08823529411764706, recall=0.07317073170731707, fmeasure=0.08), 'rougeLsum': Score(precision=0.08823529411764706, recall=0.07317073170731707, fmeasure=0.08)}"
330,"Benjamin: Your headmaster when you left high school said to you ''Branson, congratulations, I predict you'll either go to prison or become a millionaire.'' What was it in your character that you think made him make that observation?","{'rouge1': Score(precision=0.1891891891891892, recall=0.1794871794871795, fmeasure=0.1842105263157895), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13513513513513514, recall=0.1282051282051282, fmeasure=0.13157894736842105), 'rougeLsum': Score(precision=0.16216216216216217, recall=0.15384615384615385, fmeasure=0.15789473684210525)}"
331,"France is extending its ban on smoking to include bars, discotheques, restaurants, hotels, casinos, as well as its fabled cafes.","{'rouge1': Score(precision=0.16, recall=0.4, fmeasure=0.22857142857142856), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.12, recall=0.3, fmeasure=0.17142857142857143), 'rougeLsum': Score(precision=0.16, recall=0.4, fmeasure=0.22857142857142856)}"
332,"summarize: (CNN) -- The toddler whose body washed ashore in Texas last month has been tentatively identified as a 2-year-old girl, and her mother and a man identified as her boyfriend were arrested Saturday, the Galveston County Sheriff's office said Sunday.","{'rouge1': Score(precision=0.26666666666666666, recall=0.27906976744186046, fmeasure=0.2727272727272727), 'rouge2': Score(precision=0.045454545454545456, recall=0.047619047619047616, fmeasure=0.046511627906976744), 'rougeL': Score(precision=0.15555555555555556, recall=0.16279069767441862, fmeasure=0.1590909090909091), 'rougeLsum': Score(precision=0.24444444444444444, recall=0.2558139534883721, fmeasure=0.25)}"
333,"summarize: MIAMI, Florida (CNN) -- Four suspects indicted on murder and burglary charges in the slaying of Washington Redskins star Sean Taylor begin their journey through the courts on Wednesday. River","{'rouge1': Score(precision=0.175, recall=0.23333333333333334, fmeasure=0.2), 'rouge2': Score(precision=0.02564102564102564, recall=0.034482758620689655, fmeasure=0.029411764705882353), 'rougeL': Score(precision=0.15, recall=0.2, fmeasure=0.17142857142857143), 'rougeLsum': Score(precision=0.15, recall=0.2, fmeasure=0.17142857142857143)}"
334,"They and the other 15 people who lost their lives will be remembered with a commemorative service at Old Trafford while a short ceremony, organised by supporters, will also take place at the memorial site in Kirchtrudering, on the outskirts of Munich.","{'rouge1': Score(precision=0.23684210526315788, recall=0.21428571428571427, fmeasure=0.225), 'rouge2': Score(precision=0.02702702702702703, recall=0.024390243902439025, fmeasure=0.025641025641025644), 'rougeL': Score(precision=0.10526315789473684, recall=0.09523809523809523, fmeasure=0.1), 'rougeLsum': Score(precision=0.18421052631578946, recall=0.16666666666666666, fmeasure=0.175)}"
335,"The signing came after nearly two full days of talks in Dakar, Senegal, between Sudan President Omar al-Beshir and Idriss Deby, the president of Chad.","{'rouge1': Score(precision=0.32653061224489793, recall=0.6153846153846154, fmeasure=0.42666666666666664), 'rouge2': Score(precision=0.14583333333333334, recall=0.28, fmeasure=0.1917808219178082), 'rougeL': Score(precision=0.2653061224489796, recall=0.5, fmeasure=0.3466666666666667), 'rougeLsum': Score(precision=0.2857142857142857, recall=0.5384615384615384, fmeasure=0.3733333333333333)}"
336,"The Idaho Republican wants the Minnesota Court of Appeals to overturn a judge's decision refusing to let him withdraw a guilty plea to misdemeanor charges stemming from his arrest in June. In an interview taped Sunday with NBC's Matt Lauer, Craig complained that GOP presidential candidate Mitt Romney ""threw me under the campaign bus"" when","{'rouge1': Score(precision=0.48936170212765956, recall=0.40350877192982454, fmeasure=0.4423076923076923), 'rouge2': Score(precision=0.17391304347826086, recall=0.14285714285714285, fmeasure=0.1568627450980392), 'rougeL': Score(precision=0.2553191489361702, recall=0.21052631578947367, fmeasure=0.23076923076923075), 'rougeLsum': Score(precision=0.3829787234042553, recall=0.3157894736842105, fmeasure=0.34615384615384615)}"
337,"summarize: LONDON, England (CNN) -- Queen Elizabeth helped launch Heathrow's $8.6 billion new Terminal 5 on Friday as part of the British airport's rejuvenation plan to maintain its status as one of the world's most important transport hubs.","{'rouge1': Score(precision=0.37254901960784315, recall=0.4634146341463415, fmeasure=0.4130434782608696), 'rouge2': Score(precision=0.2, recall=0.25, fmeasure=0.22222222222222224), 'rougeL': Score(precision=0.3137254901960784, recall=0.3902439024390244, fmeasure=0.34782608695652173), 'rougeLsum': Score(precision=0.3333333333333333, recall=0.4146341463414634, fmeasure=0.3695652173913043)}"
338,"Khiel Coppin's brother Joel Coppin spoke briefly with reporters saying, ""We want justice."" Authorities were responding to a 9-1-1 call his mother made about a ""family dispute with a gun,"" police said. In","{'rouge1': Score(precision=0.11627906976744186, recall=0.1388888888888889, fmeasure=0.12658227848101267), 'rouge2': Score(precision=0.023809523809523808, recall=0.02857142857142857, fmeasure=0.025974025974025976), 'rougeL': Score(precision=0.09302325581395349, recall=0.1111111111111111, fmeasure=0.10126582278481011), 'rougeLsum': Score(precision=0.11627906976744186, recall=0.1388888888888889, fmeasure=0.12658227848101267)}"
339,"The Amazon rainforest, which encompasses an area nearly as large as the continental United States and stretches across nine countries, is considered the world's richest and most varied natural habitat, with several million species of insects, plants, birds and fish calling it home. While the story of the world's old-growth forests would appear to be one of unremitting destruction, forests lost to logging and agriculture are actually growing back in some areas, such as the northeast region of the United States and parts of Europe. With","{'rouge1': Score(precision=0.3333333333333333, recall=0.10112359550561797, fmeasure=0.15517241379310345), 'rouge2': Score(precision=0.038461538461538464, recall=0.011363636363636364, fmeasure=0.017543859649122806), 'rougeL': Score(precision=0.18518518518518517, recall=0.056179775280898875, fmeasure=0.08620689655172414), 'rougeLsum': Score(precision=0.25925925925925924, recall=0.07865168539325842, fmeasure=0.12068965517241377)}"
340,"summarize: WASHINGTON (CNN) -- The United States imposed stiff sanctions against Iran on Thursday, targeting two Iranian military groups and a number of Iranian banks and people it accuses of backing nuclear proliferation and terror-related activities. The","{'rouge1': Score(precision=0.2564102564102564, recall=0.2702702702702703, fmeasure=0.2631578947368421), 'rouge2': Score(precision=0.05263157894736842, recall=0.05555555555555555, fmeasure=0.05405405405405406), 'rougeL': Score(precision=0.20512820512820512, recall=0.21621621621621623, fmeasure=0.21052631578947367), 'rougeLsum': Score(precision=0.23076923076923078, recall=0.24324324324324326, fmeasure=0.23684210526315788)}"
341,"summarize: (CNN) -- Not only is Sheikha Lubna Al Qasimi the first woman to hold a ministerial post in the United Arab Emirates, the first female minister of economy in the Gulf, and the first to start a Middle Eastern BB marketplace, but she's also the first minister - anywhere in the world - to launch her own perfume line. Defterios: A number","{'rouge1': Score(precision=0.45714285714285713, recall=0.26229508196721313, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.20588235294117646, recall=0.11666666666666667, fmeasure=0.14893617021276595), 'rougeL': Score(precision=0.3142857142857143, recall=0.18032786885245902, fmeasure=0.22916666666666669), 'rougeLsum': Score(precision=0.37142857142857144, recall=0.21311475409836064, fmeasure=0.2708333333333333)}"
342,"Eliot Spitzer used a high-priced call-girl ring at least eight times in recent months, and agents had him under surveillance twice this year, sources familiar with the investigation said Wednesday. Legal experts not involved in the case have said Spitzer could face some type of money-laundering charge, such","{'rouge1': Score(precision=0.35, recall=0.27450980392156865, fmeasure=0.3076923076923077), 'rouge2': Score(precision=0.1794871794871795, recall=0.14, fmeasure=0.15730337078651685), 'rougeL': Score(precision=0.25, recall=0.19607843137254902, fmeasure=0.2197802197802198), 'rougeLsum': Score(precision=0.25, recall=0.19607843137254902, fmeasure=0.2197802197802198)}"
343,"The image of the man she loved, tall and proud, is of a doctor who moved his family back to Iraq after the fall of Saddam Hussein because he believed his country needed him. I don't know how many times I have heard stories like hers after nearly five years of war here, and yet I still","{'rouge1': Score(precision=0.2807017543859649, recall=0.27586206896551724, fmeasure=0.2782608695652174), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14035087719298245, recall=0.13793103448275862, fmeasure=0.1391304347826087), 'rougeLsum': Score(precision=0.17543859649122806, recall=0.1724137931034483, fmeasure=0.17391304347826086)}"
344,"summarize: (CNN) -- Myanmar's pro-democracy leader Aung San Suu Kyi is ""ready to cooperate"" with the government and is committed to pursuing a dialogue with the ruling junta, according to a statement the United Nations' special envoy to Myanmar read Thursday on her behalf.","{'rouge1': Score(precision=0.425531914893617, recall=0.4444444444444444, fmeasure=0.4347826086956522), 'rouge2': Score(precision=0.2608695652173913, recall=0.2727272727272727, fmeasure=0.2666666666666666), 'rougeL': Score(precision=0.2978723404255319, recall=0.3111111111111111, fmeasure=0.3043478260869565), 'rougeLsum': Score(precision=0.3829787234042553, recall=0.4, fmeasure=0.3913043478260869)}"
345,"The girl endured two days in the rugged mountains of Panama, in frigid temperatures and heavy rain, before rescuers stumbled upon her in the wreckage on Christmas Day.","{'rouge1': Score(precision=0.21428571428571427, recall=0.32142857142857145, fmeasure=0.2571428571428572), 'rouge2': Score(precision=0.024390243902439025, recall=0.037037037037037035, fmeasure=0.029411764705882353), 'rougeL': Score(precision=0.14285714285714285, recall=0.21428571428571427, fmeasure=0.17142857142857143), 'rougeLsum': Score(precision=0.19047619047619047, recall=0.2857142857142857, fmeasure=0.22857142857142854)}"
346,"Sharif filed paperwork for his candidacy last week, although he had left open the possibility that he would boycott the election in protest of a state of emergency imposed by President Pervez Musharraf.","{'rouge1': Score(precision=0.2413793103448276, recall=0.21212121212121213, fmeasure=0.22580645161290322), 'rouge2': Score(precision=0.03571428571428571, recall=0.03125, fmeasure=0.03333333333333333), 'rougeL': Score(precision=0.20689655172413793, recall=0.18181818181818182, fmeasure=0.1935483870967742), 'rougeLsum': Score(precision=0.20689655172413793, recall=0.18181818181818182, fmeasure=0.1935483870967742)}"
347,The 25-year-old Kaka was a major factor in AC Milan's triumphant Champions League campaign.,"{'rouge1': Score(precision=0.1724137931034483, recall=0.29411764705882354, fmeasure=0.2173913043478261), 'rouge2': Score(precision=0.03571428571428571, recall=0.0625, fmeasure=0.045454545454545456), 'rougeL': Score(precision=0.13793103448275862, recall=0.23529411764705882, fmeasure=0.17391304347826086), 'rougeLsum': Score(precision=0.13793103448275862, recall=0.23529411764705882, fmeasure=0.17391304347826086)}"
348,"Although most EU leaders support Serbia becoming a member state to boost stability in the Balkans, French President Nicholas Sarkozy said that Serbia's membership is dependent on it recognizing Kosovo's independence and handing over war criminals.","{'rouge1': Score(precision=0.22580645161290322, recall=0.18421052631578946, fmeasure=0.20289855072463767), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.12903225806451613, recall=0.10526315789473684, fmeasure=0.11594202898550723), 'rougeLsum': Score(precision=0.16129032258064516, recall=0.13157894736842105, fmeasure=0.14492753623188406)}"
349,"summarize: (CNN) -- Thousands of Chileans may have to sleep in the streets Wednesday night after a 7.7 magnitude earthquake rattled the north part of the country, killing at least two people, injuring dozens and destroying hundreds of homes. A","{'rouge1': Score(precision=0.23529411764705882, recall=0.3, fmeasure=0.26373626373626374), 'rouge2': Score(precision=0.02, recall=0.02564102564102564, fmeasure=0.022471910112359553), 'rougeL': Score(precision=0.17647058823529413, recall=0.225, fmeasure=0.19780219780219782), 'rougeLsum': Score(precision=0.21568627450980393, recall=0.275, fmeasure=0.24175824175824176)}"
350,"summarize: LOS ANGELES, California (CNN) -- No charges will be brought against a 10-year-old boy accused of accidentally starting an October wildfire that scorched more than 38,000 acres north of Los Angeles, California, prosecutors announced Tuesday.","{'rouge1': Score(precision=0.22916666666666666, recall=0.2894736842105263, fmeasure=0.2558139534883721), 'rouge2': Score(precision=0.06382978723404255, recall=0.08108108108108109, fmeasure=0.07142857142857144), 'rougeL': Score(precision=0.1875, recall=0.23684210526315788, fmeasure=0.20930232558139536), 'rougeLsum': Score(precision=0.20833333333333334, recall=0.2631578947368421, fmeasure=0.23255813953488372)}"
351,"summarize: JACKSONVILLE, North Carolina (CNN) -- Police believe they have found the remains of a missing Marine buried in the backyard of the prime suspect in the case and blood spatter evidence inside his home, authorities said Friday evening. Laut","{'rouge1': Score(precision=0.22727272727272727, recall=0.2564102564102564, fmeasure=0.24096385542168672), 'rouge2': Score(precision=0.046511627906976744, recall=0.05263157894736842, fmeasure=0.04938271604938271), 'rougeL': Score(precision=0.11363636363636363, recall=0.1282051282051282, fmeasure=0.12048192771084336), 'rougeLsum': Score(precision=0.20454545454545456, recall=0.23076923076923078, fmeasure=0.2168674698795181)}"
352,"The GAO said its investigators also tested the devices that could be built with the components they smuggled and discovered that ""a terrorist using these devices could cause severe damage to an airplane and threaten the safety of passengers."" The GAO investigators devised two types of devices: an ""improvised explosive device"" made of a liquid explosive and a low-yield detonator, and an ""improvised incendiary device"" that could be created by combining commonly available products prohibited in carry-on luggage.","{'rouge1': Score(precision=0.2894736842105263, recall=0.1375, fmeasure=0.18644067796610173), 'rouge2': Score(precision=0.08108108108108109, recall=0.0379746835443038, fmeasure=0.05172413793103448), 'rougeL': Score(precision=0.15789473684210525, recall=0.075, fmeasure=0.10169491525423728), 'rougeLsum': Score(precision=0.23684210526315788, recall=0.1125, fmeasure=0.15254237288135591)}"
